Set Name,Expansion Code,Link
Core Set 2021,M21,https://scryfall.com/sets/m21/en
Core Set 2020,M20,https://scryfall.com/sets/m20/en
Core Set 2019,M19,https://scryfall.com/sets/m19/en
Magic Origins,ORI,https://scryfall.com/sets/ori/en
Magic 2015,M15,https://scryfall.com/sets/m15/en
Magic 2014,M14,https://scryfall.com/sets/m14/en
Magic 2013,M13,https://scryfall.com/sets/m13/en
Magic 2012,M12,https://scryfall.com/sets/m12/en
Magic 2011,M11,https://scryfall.com/sets/m11/en
Magic 2010,M10,https://scryfall.com/sets/m10/en
Tenth Edition,10E,https://scryfall.com/sets/10e/en
Ninth Edition,9ED,https://scryfall.com/sets/9ed/en
Eighth Edition,8ED,https://scryfall.com/sets/8ed/en
Seventh Edition,7ED,https://scryfall.com/sets/7ed/en
Classic Sixth Edition,6ED,https://scryfall.com/sets/6ed/en
Fifth Edition,5ED,https://scryfall.com/sets/5ed/en
Fourth Edition,4ED,https://scryfall.com/sets/4ed/en
Summer Magic / Edgar,SUM,https://scryfall.com/sets/sum/en
Revised Edition,3ED,https://scryfall.com/sets/3ed/en
Unlimited Edition,2ED,https://scryfall.com/sets/2ed/en
Limited Edition Beta,LEB,https://scryfall.com/sets/leb/en
Limited Edition Alpha,LEA,https://scryfall.com/sets/lea/en
